player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Kalif Raymond,11028,WR,DET,17,62,0,11,0,-2.6,1,100.0,,0,0,0.0,0,3,0,92.1,86.7,0,15,0.0,0,35,12,94.3,33,91.0,12,19.4,0,70,101,8.4,5.8,2.12,11.3,0,78.6,100.0,2,2,0.0,0,14,1,91.3,75.6,0,56,0.0,0,159,22,93.1,148,117.9,28,45.2,0,344,110,5.0,15.6,2.32
Josh Jacobs,45953,HB,LV,17,61,0,23,0,-2.9,0,84.6,,0,0,0.0,0,2,0,92.1,94.8,0,14,9.7,3,31,11,77.4,24,87.8,13,21.3,0,66,102,9.3,6.0,2.75,-4.0,0,100.0,,0,0,0.0,0,0,0,71.9,60.3,0,4,0.0,0,5,1,100.0,5,83.3,1,1.6,0,4,8,8.0,4.0,0.8
Juwan Johnson,28305,TE,NO,16,61,0,20,0,,0,,,0,0,,0,0,0,,37.4,0,0,0.0,0,24,0,91.7,22,0.0,0,0.0,0,0,0,,,0.0,11.2,4,67.6,28.6,2,7,7.4,2,15,0,63.2,69.6,2,41,0.0,0,202,25,95.5,193,111.5,37,60.7,4,352,91,3.6,14.1,1.82
Olamide Zaccheaus,44920,WR,ATL,17,61,0,2,0,-3.0,1,100.0,,0,0,0.0,0,0,0,90.6,43.5,0,8,0.0,0,40,5,97.5,39,82.5,5,8.2,0,19,34,6.8,3.8,0.49,9.4,6,76.9,50.0,2,4,0.0,0,17,1,87.7,62.4,0,45,1.3,3,235,30,93.6,220,122.4,39,63.9,2,366,163,5.4,12.2,1.66
Rachaad White,131633,HB,TB,18,60,0,30,0,-4.8,0,92.3,,0,0,0.0,0,2,0,92.3,94.3,0,9,12.0,6,50,12,84.0,42,80.4,13,21.7,0,43,102,8.5,3.6,1.02,-1.0,0,75.0,,0,0,25.0,1,1,0,77.9,67.6,0,9,0.0,0,10,3,80.0,8,89.6,4,6.7,0,24,31,10.3,8.0,3.0
Jauan Jennings,48027,WR,SF,19,60,0,28,0,-2.5,0,50.0,,0,0,0.0,0,0,0,78.7,46.6,0,9,0.0,0,49,1,98.0,48,62.5,2,3.3,0,9,13,13.0,9.0,0.19,8.7,3,57.1,33.3,1,3,16.7,4,14,1,64.6,72.5,2,44,0.5,1,202,20,94.6,191,61.1,35,58.3,1,216,95,4.8,10.8,1.13
Elijah Moore,84302,WR,NYJ,16,59,0,22,0,-0.7,2,66.7,,0,0,0.0,0,0,1,84.5,44.7,0,5,0.0,0,32,2,87.5,28,70.1,3,5.1,0,5,8,4.0,2.5,0.18,9.1,4,61.9,0.0,0,2,0.0,0,6,1,90.6,55.4,1,42,0.0,0,255,13,98.0,250,76.7,21,35.6,1,136,55,4.2,10.5,0.54
Darnell Mooney,48236,WR,CHI,12,58,0,6,0,-2.7,0,84.6,,0,0,8.3,1,0,0,60.6,43.3,0,8,0.0,0,53,11,96.2,51,80.1,13,22.4,0,42,71,6.5,3.8,0.82,10.4,2,71.4,75.0,3,4,4.8,1,10,0,73.9,67.5,2,39,1.0,2,204,20,92.6,189,90.2,28,48.3,2,232,89,4.5,11.6,1.23
Ben Skowronek,27948,WR,LA,14,58,0,26,0,-2.0,0,100.0,,0,0,0.0,0,0,0,78.7,40.8,0,3,9.5,4,42,1,90.5,38,79.2,1,1.7,0,3,5,5.0,3.0,0.08,5.2,1,69.6,0.0,0,2,0.0,0,4,0,72.4,52.4,1,17,4.1,8,195,16,93.8,183,62.8,23,39.7,0,115,50,3.1,7.2,0.63
Dalvin Cook,11796,HB,MIN,18,58,0,18,0,-4.5,6,85.0,0.0,0,2,5.6,1,5,0,84.0,98.5,0,64,7.3,4,55,17,90.9,50,113.5,20,34.5,1,145,221,13.0,8.5,2.9,,0,,,0,0,,0,0,0,66.4,76.7,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0
