player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jody Fortson,94384,TE,KC,15,14,0,16,6.3,0,33.3,50.0,1,2,0.0,0,1,0,64.7,54.6,0,1,7.7,3,39,1,82.1,32,81.9,3,21.4,1,1,0,0.0,1.0,0.03,0,10.2,0,83.3,50.0,1,2,0.0,0,3,0,73.4,62.6,0,40,3.2,2,62,5,96.8,60,118.8,6,42.9,0,80,22,4.4,16.0,1.33
Justice Hill,45865,HB,BLT,16,14,0,3,-2.3,0,100.0,,0,0,0.0,0,1,1,72.1,35.6,0,7,32.2,19,59,4,66.1,39,82.3,4,28.6,0,15,24,6.0,3.8,0.38,0,-1.0,0,100.0,100.0,1,1,0.0,0,1,0,77.3,63.7,0,15,23.8,24,101,8,73.3,74,90.1,8,57.1,0,45,53,6.6,5.6,0.61
River Cracraft,47417,WR,MIA,12,14,0,17,8.3,0,33.3,0.0,0,1,0.0,0,1,0,64.7,63.6,0,2,0.0,0,15,1,93.3,14,81.9,3,21.4,1,2,0,0.0,2.0,0.14,0,8.1,0,75.0,,0,0,0.0,0,5,0,74.6,67.1,0,18,0.0,0,60,6,100.0,60,99.5,8,57.1,0,67,17,2.8,11.2,1.12
Avery Williams,42873,HB,ATL,15,14,0,2,1.7,1,100.0,,0,0,0.0,0,2,0,70.5,73.5,0,8,20.0,2,10,3,80.0,8,91.7,3,21.4,0,18,13,4.3,6.0,2.25,0,-3.2,2,88.9,,0,0,0.0,0,0,0,77.3,61.8,0,10,18.2,12,66,8,77.3,51,82.4,9,64.3,0,34,60,7.5,4.3,0.67
Kyle Philips,84463,WR,TEN,4,13,0,31,11.0,0,83.3,100.0,1,1,0.0,0,2,0,73.4,71.3,0,21,0.0,0,19,5,84.2,16,107.6,6,46.2,0,59,8,1.6,11.8,3.69,0,5.0,0,42.9,50.0,1,2,25.0,1,1,0,36.2,60.5,0,9,0.0,0,21,3,90.5,19,50.3,7,53.8,0,19,11,3.7,6.3,1.0
J.K. Dobbins,57366,HB,BLT,9,13,0,3,-2.0,0,66.7,,0,0,0.0,0,1,0,68.3,56.9,0,1,26.7,8,30,2,70.0,21,109.7,3,23.1,1,-3,4,2.0,-1.5,-0.14,0,1.3,2,87.5,,0,0,0.0,0,3,0,75.6,66.2,0,27,21.2,14,66,7,78.8,52,101.0,8,61.5,0,66,57,8.1,9.4,1.27
Sony Michel,27589,HB,LAC,10,13,0,27,,0,,,0,0,,0,0,0,,52.4,0,0,38.9,7,18,0,61.1,11,0.0,0,0.0,0,0,0,,,0.0,0,0.4,2,60.0,,0,0,25.0,2,1,0,29.7,43.7,1,9,22.4,11,49,6,75.5,37,30.8,10,76.9,0,44,41,6.8,7.3,1.19
Mike Boone,31615,HB,DEN,9,13,0,10,9.0,1,50.0,,0,0,33.3,1,0,0,29.9,41.5,0,8,18.2,4,22,2,81.8,18,56.3,4,30.8,0,11,12,6.0,5.5,0.61,0,2.0,0,85.7,100.0,1,1,14.3,1,2,0,49.2,54.6,0,34,23.0,14,61,6,73.8,45,116.1,7,53.8,0,83,72,12.0,13.8,1.84
Anthony Firkser,51837,TE,ATL,11,13,0,2,13.0,0,100.0,100.0,1,1,0.0,0,2,0,68.3,63.0,0,15,3.8,1,26,2,92.3,24,118.8,2,15.4,0,26,0,0.0,13.0,1.08,0,7.3,0,66.7,25.0,1,4,0.0,0,2,0,74.6,55.6,0,16,2.9,2,69,6,94.2,65,81.7,9,69.2,0,52,10,1.7,8.7,0.8
Tom Kennedy,94379,WR,DET,7,13,0,11,10.3,0,62.5,0.0,0,1,0.0,0,4,0,73.4,62.2,1,44,0.0,0,58,5,93.1,54,62.0,8,61.5,0,91,53,10.6,18.2,1.69,0,5.8,0,50.0,,0,0,0.0,0,2,0,68.3,57.0,0,13,1.7,1,58,2,94.8,55,66.7,4,30.8,0,22,12,6.0,11.0,0.4
